event_id,user_id,group_id,action,event_timestamp,actor_user_id,is_privileged_group,is_anomalous,anomaly_class
7c0e6783-3f61-dade-bfd6-269c65da2628,db08ff6f-a023-aec7-90cf-76d646865ef8,3539c7dc-dc2b-7f1d-2c62-54d7be0ba347,add,2024-01-29T11:00:00,6171f970-9736-25dc-ae18-816c2c1de14a,False,False,
1be2487e-0438-2b24-b8d2-e6e633e76fb1,55caf02c-ce16-aee5-11ec-6da4d74904f5,62af7e80-ea03-0bf5-a936-a00445f006fe,add,2024-02-11T14:00:00,52aa84b7-0679-89bf-13da-915c43c97a07,False,False,
2ff00dd9-eb46-e6a1-1254-c568894fe340,433a9517-e141-9ec9-5086-49be8e530012,9a503f2f-a606-3abf-67e6-e51731eceb8e,add,2024-01-28T10:00:00,933fb3c9-dc20-8566-28ca-8b56f1a1b839,False,False,
30ea3f37-78fe-c8c0-fd45-e53528b62f01,d635b8de-7d20-7d96-9141-0cc31f716481,5ea29a76-36d7-8b33-606f-3e7808d6625e,add,2024-03-16T12:00:00,91a61056-3f6b-4027-cef8-70ea01dc5c0c,False,False,
ff71738c-8907-e88c-c831-f19c7c8e0d06,f45dc97a-f151-8d97-4995-d94e79bd6a35,f652bbf0-c6ca-3b36-0fa3-29c0a4941a36,add,2024-03-07T15:00:00,a1ccd200-e827-52bd-8a28-6db35c78eab9,False,False,
69ed5941-3eb7-56e9-de9e-32d7fdb9012a,cf64a3ad-a20e-d127-2d9a-3732a37dda8a,8c4aa380-1811-d6f3-1c60-6d6d1e8afed9,add,2024-01-05T11:00:00,4a4c3e68-eb56-546b-fc83-568e594b8802,False,False,
0008b84e-5b98-fed0-0b02-5eb7cd3a7b68,dab8ec27-662d-4e52-040f-0f98af3c6757,63c4e7e1-3dbf-c750-99b9-5279cc084b47,add,2024-02-24T16:00:00,f32622cd-bee8-4417-a9da-e66fdb9b9eaf,True,False,
875a053d-9e24-b681-3f55-284b4470d37a,a482a436-9e84-8326-9791-8a3ae65e6f57,8f70767f-f4b6-e74a-b35e-75713bc5d824,add,2024-03-30T10:00:00,555b2602-3940-115b-0267-70fdb1521ca6,False,False,
4a9d99c8-a9d6-ce5f-fd99-75da56a316c1,b024f55a-0c11-aec4-84f7-f1f9e03297f2,bb8c5f18-9651-9ef6-7974-d076ce93e846,add,2024-02-27T11:00:00,613353c3-63e8-c315-9afa-2fadf7087c31,True,False,
4768d08a-f635-4626-c6c1-3c6a62b71baa,0495527d-9e4d-66dc-a7d9-6a9122cb16b5,a4fb9809-b8a3-19d2-9c13-d96d40206041,add,2024-03-30T13:00:00,0a6c5010-c08b-beee-896a-4f5839467334,False,False,
