computer_id,hostname,os_type,os_version,network_segment,primary_user_id,asset_criticality,endpoint_agent_installed,endpoint_agent_last_heartbeat,days_since_agent_heartbeat,source_freshness_flag,last_updated_at
4622d450-4eb5-5d71-5ba7-5601475cde59,ws-00000,windows_workstation,Windows 11 22H2,workstation,718b9a18-45e1-9cd1-c970-07b5407fdae1,high,True,2023-12-31T05:30:01.007562,0.8,stale_heavy,2024-01-01T00:00:00
9008112c-602f-d434-4026-6c036d0f82ec,ws-00001,windows_workstation,Windows 11 22H2,workstation,c3af5294-11ee-e09c-421b-a82f5dd8f997,medium,True,2023-12-31T14:48:46.702937,0.4,fresh,2024-01-01T00:00:00
f25386ce-5469-c1e9-b369-f2c1bec43793,ws-00002,windows_workstation,Windows 11 22H2,workstation,1b9f9c94-159c-c176-13aa-86cd3a964fcd,high,True,2023-12-31T11:31:27.884530,0.5,fresh,2024-01-01T00:00:00
c2dd02a0-3c17-483d-e9df-a6ee36b56000,ws-00003,windows_workstation,Windows 11 22H2,workstation,36325cee-a4cd-fc5b-3453-dd3bd5052b7c,high,True,2023-12-31T21:36:00,0.1,fresh,2024-01-01T00:00:00
e44d0cde-bd18-5f58-691d-f3e0a2e45fd4,ws-00004,windows_workstation,Windows 11 22H2,workstation,de7b2aaf-0c98-de3f-684c-120966e17a67,low,True,2023-12-31T16:17:05.227660,0.3,fresh,2024-01-01T00:00:00
b026b415-6686-8f15-ce77-1ab6aa67c42c,ws-00005,windows_workstation,Windows 11 22H2,workstation,fc02a85a-8884-2898-bb62-4abccaf0e7a3,low,True,2023-12-22T19:41:54.560495,9.2,fresh,2024-01-01T00:00:00
bd65f109-a7c6-546c-bc3c-8191ea30086a,ws-00006,windows_workstation,Windows 11 22H2,workstation,d0927350-761d-3c33-68dd-a93d420f68f2,critical,True,2023-12-28T07:59:47.815429,3.7,fresh,2024-01-01T00:00:00
abcff547-94d7-2998-6cc0-8223a80eb4d8,ws-00007,windows_workstation,Windows 11 22H2,workstation,f1926e8b-c390-a92c-9715-7e85715b1dcf,high,True,2023-12-27T22:23:35.722247,4.1,fresh,2024-01-01T00:00:00
778188d3-8915-b538-cd40-2f368e1ee25e,ws-00008,windows_workstation,Windows 11 22H2,workstation,74e3fa95-3054-a9f7-e5f0-06caf3fb1989,medium,True,2023-12-24T14:03:52.040789,7.4,stale_heavy,2024-01-01T00:00:00
4384893f-ad8d-2d20-7b06-d9cb973f54ec,ws-00009,windows_workstation,Windows 11 22H2,workstation,931a5fd9-3076-efdc-f8f2-882c7e8aa9de,low,True,2023-12-31T21:36:00,0.1,fresh,2024-01-01T00:00:00
197f523e-8143-24e4-894e-927494981087,ws-00010,windows_workstation,Windows 11 22H2,workstation,51767f17-6625-dce1-16ab-6bb9ad5cae74,low,True,2023-12-30T17:22:10.361442,1.3,stale_heavy,2024-01-01T00:00:00
a6e5880d-8680-7c37-0598-d21804602352,ws-00011,windows_workstation,Windows 11 22H2,workstation,05d9e439-07ea-0f56-2367-42a1e697dd5a,high,True,2023-12-31T12:30:45.826722,0.5,fresh,2024-01-01T00:00:00
04d8c99c-e4ae-3be7-8e0f-cab4ce50d23c,ws-00012,windows_workstation,Windows 11 22H2,workstation,fb7d82be-6b45-1cd3-48df-4602aa0e1a0e,medium,False,2023-12-26T00:55:42.897771,999.0,fresh,2024-01-01T00:00:00
645adf39-ff56-c704-11f5-d637ae24dbcf,ws-00013,windows_workstation,Windows 11 22H2,workstation,2a03bfc8-9c04-5ef2-8ec3-70d0eadca961,low,True,2023-12-30T19:01:26.039264,1.2,fresh,2024-01-01T00:00:00
744452e4-5c41-6897-030b-9c97fa37f9ab,ws-00014,windows_workstation,Windows 11 22H2,workstation,3e6f8be5-7d3d-b045-195c-a822f884787e,medium,True,2023-12-30T22:26:27.611611,1.1,fresh,2024-01-01T00:00:00
b672abbf-73aa-311c-2699-c1e769530834,ws-00015,windows_workstation,Windows 11 22H2,workstation,f13aec99-c7a2-3b59-85d8-12aeb07a6a71,medium,True,2023-12-31T01:17:10.535071,0.9,fresh,2024-01-01T00:00:00
e65e0a6d-97b3-ec01-58b0-fabc2d6fdd70,ws-00016,windows_workstation,Windows 11 22H2,workstation,c6e3272c-0a29-6d74-acd9-733e4a388819,high,True,2023-12-30T07:41:33.720638,1.7,fresh,2024-01-01T00:00:00
3ee0b81d-d221-aa0f-d882-8123eb6ea881,ws-00017,windows_workstation,Windows 11 22H2,workstation,e6d14d44-716c-a5ff-9b73-67353526ba6b,high,True,2023-12-31T21:36:00,0.1,fresh,2024-01-01T00:00:00
9d613f7f-f168-91af-0cf5-5db6bbd4ae07,ws-00018,windows_workstation,Windows 11 22H2,workstation,f6ab1c9a-f361-a999-37a1-fba0b5f4154f,medium,True,2023-12-30T13:23:46.781171,1.4,fresh,2024-01-01T00:00:00
2ca8bf17-663b-dcc7-fea5-36b8311e1828,ws-00019,windows_workstation,Windows 11 22H2,workstation,a92b5fca-cbe0-94b8-c3d2-b37f568f6317,low,True,2023-12-31T01:53:35.356592,0.9,stale_heavy,2024-01-01T00:00:00
6b876c55-ee85-c702-c98c-083d452e55ea,ws-00020,windows_workstation,Windows 11 22H2,workstation,6787df6b-2aef-a459-a545-6f35c791ce5c,medium,True,2023-12-19T22:43:55.261803,12.1,fresh,2024-01-01T00:00:00
3131fc13-95ce-3e5f-a043-3409b8b8dcf6,ws-00021,windows_workstation,Windows 11 22H2,workstation,97c00dca-13e5-73d2-8b4e-f630674f204f,medium,True,2023-12-29T02:50:53.169163,2.9,fresh,2024-01-01T00:00:00
5ba13b0c-2d13-de1b-8274-6107a57d5d06,ws-00022,windows_workstation,Windows 11 22H2,workstation,2ede6636-2e7b-767c-d86a-1a8353e0efbe,medium,True,2023-12-31T00:26:44.437310,1.0,fresh,2024-01-01T00:00:00
59d36806-ec01-7be2-ac58-9b152b45afd3,ws-00023,windows_workstation,Windows 11 22H2,workstation,165037d4-a2b1-31bd-ccb5-cc16f6a43345,high,True,2023-12-31T01:02:45.534222,1.0,fresh,2024-01-01T00:00:00
e827b30e-4d9b-0b33-f38a-b897b66af5d8,ws-00024,windows_workstation,Windows 11 22H2,workstation,e2e002d4-8664-4fd7-305e-529800a29f01,high,True,2023-12-30T04:33:33.744516,1.8,fresh,2024-01-01T00:00:00
f21beba8-29fa-c67a-3ffd-21a725db22e1,ws-00025,windows_workstation,Windows 11 22H2,workstation,2149da87-cf4c-1bdf-08ca-f5114838e84e,medium,True,2023-12-30T03:32:29.593005,1.9,fresh,2024-01-01T00:00:00
b405510d-1fcc-5267-05af-d6394a343516,ws-00026,windows_workstation,Windows 11 22H2,workstation,2f56aa76-ed2a-28ff-f25a-1c66bb456eea,low,True,2023-12-30T10:05:43.853570,1.6,fresh,2024-01-01T00:00:00
3617f531-9a55-d06c-9b93-e2b59f9ddbf2,ws-00027,windows_workstation,Windows 11 22H2,workstation,bb5e0094-3826-f9a7-d0d6-2ad993b875b6,low,True,2023-12-31T17:01:34.810827,0.3,fresh,2024-01-01T00:00:00
d9703d8e-6b92-cf46-ca91-039fc19ad631,ws-00028,windows_workstation,Windows 11 22H2,workstation,1122a6e0-d92d-7c69-9f73-b53a8d5a2770,high,True,2023-12-30T16:37:05.913747,1.3,fresh,2024-01-01T00:00:00
b9878832-bf30-e6b4-e0b4-0f3c73a67faf,ws-00029,windows_workstation,Windows 11 22H2,workstation,2a818da5-ae9b-68b4-ee65-0c075f529154,medium,True,2023-12-27T04:48:36.701650,4.8,stale_heavy,2024-01-01T00:00:00
83b66174-013e-881e-2675-b56b6d0b3737,ws-00030,windows_workstation,Windows 11 22H2,workstation,3252ed8f-84cb-9647-00f3-713666465562,low,True,2023-12-29T22:43:37.710080,2.1,fresh,2024-01-01T00:00:00
1b06f755-3b53-e28c-3118-f4f11a018ef7,ws-00031,windows_workstation,Windows 11 22H2,workstation,4e7a338e-18c8-78bd-4816-6ed3f98dbedd,high,True,2023-12-30T18:21:26.693197,1.2,fresh,2024-01-01T00:00:00
