event_id,user_id,action,event_timestamp,actor_user_id,days_since_last_logon_at_action,is_anomalous,anomaly_class
5e194b48-04a3-c57d-aa8e-be4e08988a61,aef03263-e229-eb6a-ae98-d4a79b35f615,disabled,2024-03-10T16:00:00,2149da87-cf4c-1bdf-08ca-f5114838e84e,,False,
59552f8d-7955-e345-8895-1c65f62437fc,dada646c-a80e-89a8-d5ba-1888b31dbbd0,created,2024-01-05T11:00:00,2149da87-cf4c-1bdf-08ca-f5114838e84e,,False,
3ec171c3-cc59-7c31-4ea8-1fb33f17bdfe,ed14a69d-ed7b-c32e-cb21-53f3a4338c99,enabled,2024-02-08T16:00:00,2149da87-cf4c-1bdf-08ca-f5114838e84e,,False,
7ba3abec-37ea-dd3a-ce47-e157564dd1df,5758ec26-d097-ac05-9c57-0201cbfba63e,created,2024-02-05T13:00:00,2149da87-cf4c-1bdf-08ca-f5114838e84e,,False,
be32fa0e-c4af-d5f9-0be7-85e80c30b078,48a90439-0718-a11f-796a-26aaa73c66ab,disabled,2024-03-18T13:00:00,2149da87-cf4c-1bdf-08ca-f5114838e84e,,False,
d4931a80-5837-1be5-d1a9-3b3586bf2949,bd4dcbf5-6f80-c491-73c2-6d294a3d5154,enabled,2024-03-30T14:00:00,2149da87-cf4c-1bdf-08ca-f5114838e84e,,False,
f8dd74d8-f2a7-01a2-ecd0-0594a2c99354,5d4ea9b7-22b4-e713-aa0b-700d23144251,reactivated,2024-02-12T02:00:00,2149da87-cf4c-1bdf-08ca-f5114838e84e,180,True,dormant_account_reactivation
7ccd0604-882a-4489-6c66-1dc6dd8796bc,0eeb1f4f-09c7-5aab-35c1-3d9b865313fe,reactivated,2024-02-05T02:00:00,2149da87-cf4c-1bdf-08ca-f5114838e84e,180,True,dormant_account_reactivation
6a9cf0cb-ce4f-cb09-5c42-78ad9003e224,5add83cf-7de9-de32-d199-bca962024656,reactivated,2024-01-09T05:00:00,2149da87-cf4c-1bdf-08ca-f5114838e84e,180,True,dormant_account_reactivation
a34e0498-d41d-ae7a-8edf-791ceae0387f,2f5c98cb-8bbe-e9d5-009e-61654bc59ca3,reactivated,2024-01-20T04:00:00,2149da87-cf4c-1bdf-08ca-f5114838e84e,180,True,dormant_account_reactivation
