user_id,username,display_name,department,ou_path,account_enabled,account_created_at,account_last_logon,days_since_last_logon,is_privileged,privileged_group_count,is_service_account,password_last_set,days_since_password_change,mfa_enabled,source_freshness_flag,last_updated_at,split
718b9a18-45e1-9cd1-c970-07b5407fdae1,svc_00000,Synthetic User 00000,IT,"OU=IT,DC=corp,DC=local",True,2021-03-23T00:00:00,2023-12-31T07:23:14.041231,0.7,False,0,True,2023-08-03T00:00:00,151,False,fresh,2024-01-01T00:00:00,train
c3af5294-11ee-e09c-421b-a82f5dd8f997,user_00001,Synthetic User 00001,Security,"OU=Security,DC=corp,DC=local",True,2022-01-24T00:00:00,2023-12-19T04:24:24.814180,12.8,False,0,False,2023-08-08T00:00:00,146,False,fresh,2024-01-01T00:00:00,train
1b9f9c94-159c-c176-13aa-86cd3a964fcd,user_00002,Synthetic User 00002,IT,"OU=IT,DC=corp,DC=local",True,2022-08-06T00:00:00,2023-12-29T08:12:27.468875,2.7,False,0,False,2023-10-24T00:00:00,69,False,fresh,2024-01-01T00:00:00,train
36325cee-a4cd-fc5b-3453-dd3bd5052b7c,user_00003,Synthetic User 00003,Security,"OU=Security,DC=corp,DC=local",True,2020-04-02T00:00:00,2023-12-29T00:20:04.216783,3.0,False,0,False,2023-10-08T00:00:00,85,True,fresh,2024-01-01T00:00:00,val
de7b2aaf-0c98-de3f-684c-120966e17a67,svc_00004,Synthetic User 00004,Finance,"OU=Finance,DC=corp,DC=local",True,2020-05-16T00:00:00,2023-12-31T21:36:00,0.1,False,0,True,2023-08-15T00:00:00,139,True,fresh,2024-01-01T00:00:00,train
fc02a85a-8884-2898-bb62-4abccaf0e7a3,user_00005,Synthetic User 00005,Security,"OU=Security,DC=corp,DC=local",True,2022-02-12T00:00:00,2023-12-29T12:29:41.743353,2.5,False,0,False,2023-07-24T00:00:00,161,True,fresh,2024-01-01T00:00:00,test
d0927350-761d-3c33-68dd-a93d420f68f2,user_00006,Synthetic User 00006,Legal,"OU=Legal,DC=corp,DC=local",True,2021-05-03T00:00:00,2023-12-25T08:34:24.592823,6.6,False,0,False,2023-11-01T00:00:00,61,True,fresh,2024-01-01T00:00:00,train
f1926e8b-c390-a92c-9715-7e85715b1dcf,svc_00007,Synthetic User 00007,Legal,"OU=Legal,DC=corp,DC=local",True,2020-05-04T00:00:00,2023-12-31T16:21:42.711156,0.3,False,0,True,2023-09-08T00:00:00,115,False,stale_mild,2024-01-01T00:00:00,val
74e3fa95-3054-a9f7-e5f0-06caf3fb1989,svc_00008,Synthetic User 00008,IT,"OU=IT,DC=corp,DC=local",True,2021-10-31T00:00:00,2023-12-31T07:06:26.308505,0.7,False,0,True,2023-11-15T00:00:00,47,True,fresh,2024-01-01T00:00:00,test
931a5fd9-3076-efdc-f8f2-882c7e8aa9de,user_00009,Synthetic User 00009,Operations,"OU=Operations,DC=corp,DC=local",True,2022-09-23T00:00:00,2023-12-28T01:03:38.189631,4.0,False,0,False,2023-08-21T00:00:00,133,False,stale_mild,2024-01-01T00:00:00,train
