user_id,username,display_name,department,ou_path,account_enabled,account_created_at,account_last_logon,days_since_last_logon,is_privileged,privileged_group_count,is_service_account,password_last_set,days_since_password_change,mfa_enabled,source_freshness_flag,last_updated_at,split
9d1af36d-9a7f-0631-197d-1dca49b882a9,user_00000,Synthetic User 00000,Executive,"OU=Executive,DC=corp,DC=local",True,2022-04-30T00:00:00,2023-12-19T02:41:14.230505,12.9,False,0,False,2023-08-29T00:00:00,125,False,fresh,2024-01-01T00:00:00,train
aa77f6f5-e684-5511-0353-9e9d9a8f950f,user_00001,Synthetic User 00001,Executive,"OU=Executive,DC=corp,DC=local",True,2021-01-01T00:00:00,2023-12-02T07:31:10.187997,29.7,False,0,False,2023-10-01T00:00:00,92,False,fresh,2024-01-01T00:00:00,val
eac8d972-f566-eb07-74bf-d6a85f60f91a,user_00002,Synthetic User 00002,IT,"OU=IT,DC=corp,DC=local",True,2020-05-03T00:00:00,2023-11-20T05:35:28.442180,41.8,False,0,False,2023-12-27T00:00:00,5,False,fresh,2024-01-01T00:00:00,train
cc820863-37d1-4b78-c851-74a36c90bf36,user_00003,Synthetic User 00003,Engineering,"OU=Engineering,DC=corp,DC=local",True,2021-02-14T00:00:00,2023-12-25T04:29:44.807514,6.8,False,0,False,2023-12-17T00:00:00,15,False,fresh,2024-01-01T00:00:00,val
042345ef-6bc7-3eda-9c85-4d078cba2591,user_00004,Synthetic User 00004,Operations,"OU=Operations,DC=corp,DC=local",True,2021-05-29T00:00:00,2023-12-29T22:43:02.792977,2.1,False,0,False,2023-12-13T00:00:00,19,True,fresh,2024-01-01T00:00:00,train
efa3355b-7e46-2333-5977-7d38f8c30250,user_00005,Synthetic User 00005,Security,"OU=Security,DC=corp,DC=local",True,2022-11-23T00:00:00,2023-12-25T20:44:06.432486,6.1,False,0,False,2023-09-15T00:00:00,108,True,fresh,2024-01-01T00:00:00,train
cfab1faf-16ae-0b89-371b-fd4c702ce8c8,user_00006,Synthetic User 00006,IT,"OU=IT,DC=corp,DC=local",True,2022-08-08T00:00:00,2023-12-30T11:59:18.308672,1.5,False,0,False,2023-11-05T00:00:00,57,False,fresh,2024-01-01T00:00:00,train
632beba0-0006-718f-c224-25ce041bdbb1,user_00007,Synthetic User 00007,Finance,"OU=Finance,DC=corp,DC=local",True,2020-12-11T00:00:00,2023-12-22T05:24:51.653989,9.8,False,0,False,2023-12-19T00:00:00,13,True,fresh,2024-01-01T00:00:00,train
20a14947-e82b-9208-fffd-ed5cb0ac7a45,user_00008,Synthetic User 00008,Security,"OU=Security,DC=corp,DC=local",True,2022-11-20T00:00:00,2023-12-22T09:17:02.206819,9.6,False,0,False,2023-08-20T00:00:00,134,True,fresh,2024-01-01T00:00:00,test
2598af14-b2df-9a3b-0017-5a39121284e6,user_00009,Synthetic User 00009,Security,"OU=Security,DC=corp,DC=local",True,2020-04-23T00:00:00,2023-12-26T19:04:49.397850,5.2,False,0,False,2023-07-08T00:00:00,177,False,fresh,2024-01-01T00:00:00,val
