seed,recurrence,exposure_detect,exposure_prevent,exposure_saved,reduction,blockable_share,ceiling_gap,false_blocks_per_endpoint_month
900,0.0,1428.1891809490053,1428.1891809490053,0.0,0.0,0.0,0.0,0.29835616438356166
900,1.0,2115.544142225361,1442.90702384242,672.6371183829413,0.31794993304908675,0.34471481987188823,-0.02676488682280148,0.29276712328767124
900,3.0,3485.9664950918254,1516.1412835114065,1969.825211580419,0.5650729042731465,0.6098238782412709,-0.04475097396812444,0.28947945205479453
900,6.0,5698.842895676932,1760.6683462868891,3938.174549390043,0.6910480989706684,0.7406442876981553,-0.049596188727486834,0.2926027397260274
900,12.0,9802.193837662146,1918.246439145595,7883.9473985165505,0.8043043760494434,0.8632766992617109,-0.05897232321226753,0.2947397260273973
901,0.0,1429.5292894266263,1429.5292894266263,0.0,0.0,0.0,0.0,0.30657534246575346
901,1.0,2098.312509126913,1440.3940218978944,657.9184872290186,0.31354647335290015,0.3367889192208057,-0.02324244586790558,0.2952328767123288
901,3.0,3509.9013951597303,1541.2267416457503,1968.67465351398,0.5608917265393402,0.6055452731249312,-0.044653546585591064,0.3023013698630137
901,6.0,5520.8448445302065,1669.7400863304015,3851.104758199805,0.6975571432722473,0.7565708343257662,-0.059013691053518946,0.29293150684931507
901,12.0,9646.798208788587,1863.125886027916,7783.672322760671,0.8068658796728494,0.8610534495812817,-0.05418756990843232,0.2909589041095891
902,0.0,1462.3001788988445,1462.3001788988445,0.0,0.0,0.0,0.0,0.29013698630136986
902,1.0,2202.8220552461353,1524.2806503424376,678.5414049036976,0.3080327815348117,0.3329674858682218,-0.024934704333410107,0.2919452054794521
902,3.0,3596.5160734921465,1597.6592121084025,1998.856861383744,0.555775873244713,0.6000263163564598,-0.04425044311174675,0.3041095890410959
902,6.0,5775.181446085018,1780.1386506432636,3995.0427954417546,0.6917605676528111,0.7435367416831427,-0.05177617403033152,0.30312328767123287
902,12.0,9876.642118072246,1982.3851151815206,7894.257002890726,0.7992855171339904,0.8584942170787723,-0.05920869994478184,0.29276712328767124
903,0.0,1485.6011689431552,1485.6011689431552,0.0,0.0,0.0,0.0,0.2865205479452055
903,1.0,2228.7030982453616,1511.6192264623605,717.0838717830011,0.32174939423180904,0.3401507201086474,-0.018401325876838348,0.2967123287671233
903,3.0,3713.514774115301,1671.8248115998463,2041.6899625154547,0.5497998760491971,0.5886005597332196,-0.03880068368402245,0.29013698630136986
903,6.0,5856.168629769617,1688.3814631808796,4167.787166588738,0.7116917954517132,0.7646736711246822,-0.05298187567296897,0.29506849315068495
903,12.0,10034.717214813965,2057.631710910473,7977.085503903492,0.7949487098776585,0.8569468695063971,-0.06199815962873856,0.29884931506849316
904,0.0,1548.2260824554276,1548.2260824554276,0.0,0.0,0.0,0.0,0.3046027397260274
904,1.0,2245.061699304879,1541.0376100120977,704.0240892927811,0.31358785796878663,0.33775483703463427,-0.024166979065847638,0.311013698630137
904,3.0,3689.2847546443118,1557.7156706048727,2131.569084039439,0.5777729901049468,0.6194743772947072,-0.041701387189760464,0.29556164383561645
904,6.0,5865.716867405024,1708.8466365287989,4156.870230876225,0.7086721580401156,0.7579953392692848,-0.04932318122916912,0.28257534246575344
904,12.0,10140.124123192418,1901.3072852957016,8238.816837896717,0.8124966457809876,0.8619716598967372,-0.049475014115749616,0.2903013698630137
905,0.0,1402.8055927549942,1402.8055927549942,0.0,0.0,0.0,0.0,0.2957260273972603
905,1.0,2210.344567071621,1562.7845941817627,647.5599728898583,0.2929678849790281,0.3129802459527804,-0.020012360973752308,0.30263013698630137
905,3.0,3575.0448427000824,1586.2828019276944,1988.762040772388,0.5562900965657144,0.600029004246203,-0.0437389076804886,0.29506849315068495
905,6.0,5785.9464401587065,1707.4212978176176,4078.525142341089,0.7049019869995922,0.7565546765766399,-0.05165268957704772,0.30164383561643837
905,12.0,10002.165363600838,1905.9477410468176,8096.217622554021,0.8094464876592817,0.8651089427128346,-0.05566245505355283,0.30427397260273975
906,0.0,1481.9111649924396,1481.9111649924396,0.0,0.0,0.0,0.0,0.2909589041095891
906,1.0,2193.329713687741,1499.788291753803,693.541421933938,0.31620481754558305,0.3369610657572089,-0.02075624821162586,0.2817534246575343
906,3.0,3647.0351310263095,1618.7535660995104,2028.281564926799,0.5561453323198512,0.5980074114584182,-0.04186207913856699,0.28800000000000003
906,6.0,5774.953620058985,1668.5816193712078,4106.372000687777,0.7110657973813883,0.7578975754879246,-0.04683177810653627,0.29884931506849316
906,12.0,9863.463355149794,1890.9429625169685,7972.520392632825,0.8082881342556322,0.8676666470362843,-0.05937851278065209,0.3041095890410959
907,0.0,1499.4149192838834,1499.4149192838834,0.0,0.0,0.0,0.0,0.311013698630137
907,1.0,2278.9034634955874,1571.8020028057647,707.1014606898227,0.31028144544798175,0.33354070943614894,-0.02325926398816719,0.2967123287671233
907,3.0,3748.753218807584,1688.7306854169449,2060.022533390639,0.5495220445708342,0.591578405916362,-0.042056361345527815,0.28816438356164387
907,6.0,5820.036977294924,1685.027539198123,4135.009438096801,0.7104782073083492,0.7631721637615799,-0.05269395645323072,0.29227397260273974
907,12.0,9868.130574752497,1974.4224783365053,7893.708096415991,0.7999192994681238,0.8602091007482928,-0.06028980128016903,0.3003287671232877
908,0.0,1529.5948679415058,1529.5948679415058,0.0,0.0,0.0,0.0,0.29769863013698633
908,1.0,2182.7067431562823,1494.2635848499742,688.4431583063081,0.3154079953547912,0.34195039778169617,-0.026542402426904976,0.29079452054794525
908,3.0,3602.8918422567876,1527.0530985965772,2075.8387436602106,0.5761590507140902,0.616250781814226,-0.04009173110013575,0.28684931506849315
908,6.0,5720.981306070494,1701.3354134056267,4019.645892664867,0.7026147574367441,0.7506820681444224,-0.048067310707678335,0.29375342465753423
908,12.0,9822.212140692964,1877.3012779314124,7944.9108627615515,0.8088718456656173,0.8649455179259806,-0.056073672260363305,0.2930958904109589
909,0.0,1530.6971416819924,1530.6971416819924,0.0,0.0,0.0,0.0,0.2911232876712329
909,1.0,2298.063731517473,1565.1063997284414,732.9573317890317,0.3189456070067475,0.34489591899081007,-0.025950311984062557,0.2944109589041096
909,3.0,3758.664875891826,1613.718091313999,2144.946784577827,0.5706672064156535,0.6110779343712281,-0.040410727955574655,0.30295890410958903
909,6.0,5944.010607720481,1761.9853575746959,4182.025250145785,0.703569614211975,0.7507765444502306,-0.04720693023825562,0.3013150684931507
909,12.0,10050.262188644983,2010.194619823845,8040.067568821139,0.7999858528969515,0.8598970921922785,-0.059911239295327046,0.2904657534246575
910,0.0,1504.279807294842,1504.279807294842,0.0,0.0,0.0,0.0,0.29128767123287674
910,1.0,2231.875534604088,1543.3728380401888,688.5026965638992,0.30848615251568345,0.33031095755056517,-0.02182480503488171,0.2996712328767123
910,3.0,3697.093363771328,1606.7876343602188,2090.305729411109,0.5653916533173053,0.605374307677135,-0.03998265435982962,0.2949041095890411
910,6.0,5980.969246383186,1798.4312168420302,4182.538029541156,0.6993077304435935,0.75051628243762,-0.05120855199402652,0.2957260273972603
910,12.0,10073.956824305978,2047.564169762494,8026.392654543484,0.7967467792970657,0.8566822500847154,-0.059935470787649714,0.3039452054794521
911,0.0,1446.5620845905355,1446.5620845905355,0.0,0.0,0.0,0.0,0.2939178082191781
911,1.0,2177.1789736120413,1488.684534736076,688.4944388759652,0.31623235720199927,0.34634961692063515,-0.03011725971863588,0.2914520547945206
911,3.0,3579.3281640576993,1550.0576794818392,2029.27048457586,0.5669417252525348,0.6049062272100706,-0.03796450195753576,0.29506849315068495
911,6.0,5739.1001996184,1734.903087105432,4004.1971125129685,0.697704687710316,0.7435339627727403,-0.04582927506242429,0.30969863013698634
911,12.0,9964.27471539796,1956.549976809456,8007.724738588504,0.8036435131815498,0.8633197076375451,-0.05967619445599526,0.2957260273972603
912,0.0,1456.9781425411031,1456.9781425411031,0.0,0.0,0.0,0.0,0.2944109589041096
912,1.0,2165.1290972635156,1499.9897071876062,665.1393900759094,0.3072054183358268,0.3349160896144644,-0.027710671278637578,0.2947397260273973
912,3.0,3523.1658366871193,1533.7984365735658,1989.3674001135535,0.5646533522203379,0.6086546534307381,-0.044001301210400245,0.30969863013698634
912,6.0,5723.309169183427,1749.6618856730063,3973.6472835104205,0.6942919150525919,0.7526693719254057,-0.058377456872813815,0.2909589041095891
912,12.0,9679.747713926945,1928.1712933449055,7751.57642058204,0.8008035591081876,0.8627301836248509,-0.06192662451666331,0.29457534246575345
913,0.0,1563.553154254821,1563.553154254821,0.0,0.0,0.0,0.0,0.3
913,1.0,2310.722832798881,1579.54564145892,731.1771913399609,0.3164279077358304,0.33742846703538704,-0.02100055929955663,0.2985205479452055
913,3.0,3825.199274460761,1673.7438628162542,2151.455411644507,0.562442700961716,0.604054480689041,-0.04161177972732499,0.3013150684931507
913,6.0,6012.8755880102135,1785.248356695009,4227.627231315204,0.7030957433653162,0.7539654199303035,-0.05086967656498731,0.298027397260274
913,12.0,9922.835678356678,1879.0498774799796,8043.785800876698,0.8106337806662974,0.8699163360306016,-0.05928255536430416,0.3013150684931507
914,0.0,1465.099151740149,1465.099151740149,0.0,0.0,0.0,0.0,0.2926027397260274
914,1.0,2210.1032524364077,1528.0022809074367,682.1009715289711,0.3086285542438011,0.33670637218064997,-0.02807781793684888,0.2916164383561644
914,3.0,3670.5538402004754,1592.9804735358125,2077.573366664663,0.5660108684173917,0.6040454284308268,-0.03803456001343508,0.28964383561643836
914,6.0,5765.04791562007,1647.3513202906524,4117.6965953294175,0.7142519291422977,0.7602169777870258,-0.04596504864472806,0.2861917808219178
914,12.0,9979.866953099396,1896.4347645912587,8083.432188508137,0.8099739431894638,0.8645954280810628,-0.054621484891599015,0.29835616438356166
915,0.0,1544.9008327958838,1544.9008327958838,0.0,0.0,0.0,0.0,0.2888219178082192
915,1.0,2242.3816777576744,1523.4514060986103,718.9302716590641,0.32061012573826253,0.3486283935867754,-0.028018267848512857,0.30263013698630137
915,3.0,3737.312526492354,1577.989945409683,2159.322581082671,0.5777741534260444,0.6209866658327358,-0.04321251240669133,0.30690410958904113
915,6.0,5902.145298786317,1762.5246746453627,4139.6206241409545,0.701375587109352,0.753216066255791,-0.05184047914643897,0.2942465753424658
915,12.0,9896.9087711166,1883.0932903263033,8013.815480790296,0.8097291453446582,0.8669982987471476,-0.05726915340248939,0.3044383561643836
916,0.0,1520.3435012141963,1520.3435012141963,0.0,0.0,0.0,0.0,0.3011506849315069
916,1.0,2144.824450254272,1420.4896310183829,724.3348192358892,0.3377128692980063,0.36100328636914664,-0.023290417071140324,0.28421917808219177
916,3.0,3633.3714558728134,1565.8585865288717,2067.512869343942,0.5690342687098809,0.6129326704697413,-0.04389840175986037,0.28865753424657536
916,6.0,5834.526106411657,1769.1885483904134,4065.3375580212432,0.6967725371138158,0.7442915213547772,-0.04751898424096135,0.29457534246575345
916,12.0,9940.410022304675,1956.092436570026,7984.31758573465,0.8032181336402754,0.8575871010704608,-0.05436896743018538,0.29178082191780824
917,0.0,1556.6806588672384,1556.6806588672384,0.0,0.0,0.0,0.0,0.2958904109589041
917,1.0,2280.317561961231,1542.5129474767743,737.8046144844568,0.32355345009486036,0.3486505568550505,-0.025097106760190113,0.29786301369863016
917,3.0,3734.090630375609,1596.6060986258692,2137.48453174974,0.5724243847650619,0.6122826753436847,-0.03985829057862289,0.29835616438356166
917,6.0,5941.965839701211,1792.515228477603,4149.450611223608,0.6983295971678392,0.7474464584675071,-0.04911686129966797,0.2944109589041096
917,12.0,10025.165679940754,1954.516004949917,8070.6496749908365,0.8050390320370777,0.8598353199547313,-0.05479628791765356,0.2871780821917808
918,0.0,1511.243491384498,1511.243491384498,0.0,0.0,0.0,0.0,0.29375342465753423
918,1.0,2129.3906355321637,1427.5959176602028,701.794717871961,0.32957537530288467,0.3477450363720511,-0.018169661069166454,0.2975342465753425
918,3.0,3630.399558801507,1522.4825764866268,2107.91698231488,0.5806294729197137,0.6160751418196634,-0.03544566889994971,0.29326027397260274
918,6.0,5612.69773487598,1600.4447405531155,4012.2529943228647,0.714852853983508,0.7635217466908464,-0.04866889270733843,0.28767123287671237
918,12.0,9729.349155074435,1864.7117924130484,7864.637362661386,0.8083415691335848,0.865395855059173,-0.057054285925588255,0.2888219178082192
919,0.0,1537.7463100038215,1537.7463100038215,0.0,0.0,0.0,0.0,0.2967123287671233
919,1.0,2347.9786324308975,1609.5949124844956,738.3837199464019,0.3144763371129754,0.34033264199937635,-0.02585630488640095,0.2855342465753425
919,3.0,3746.052768140917,1613.0378335548135,2133.0149345861037,0.5694033337508675,0.6060447249490137,-0.036641391198146245,0.2832328767123288
