event_id,user_id,computer_id,event_timestamp,logon_type,success,is_off_hours,is_cross_segment,is_anomalous,anomaly_class
37fedc45-4815-502a-16c8-8299178570d9,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-03-15T04:59:00,interactive,True,True,False,False,
5784beb9-a4d9-ea6b-9d61-8d4b5fd583db,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-01-05T10:00:00,interactive,True,False,False,False,
5fd99288-4f3a-426c-5b89-bf040f61fd40,9d1af36d-9a7f-0631-197d-1dca49b882a9,67a26f15-d063-000a-b8d3-79226cdb5356,2024-01-10T12:44:00,interactive,True,False,False,False,
d829fe50-7540-d5c3-1fef-85b9ab64385c,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-03-26T17:34:00,interactive,True,False,False,False,
726bc39b-537d-4490-4b70-c0a13d3898f7,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-02-16T08:29:00,interactive,True,False,False,False,
12eb85fb-11fe-0914-269d-976f077d5437,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-03-20T12:52:00,interactive,True,False,False,False,
b0e22acc-c89b-89ec-43aa-8393c2528554,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-02-28T15:43:00,interactive,True,False,False,False,
fcaaab2e-0762-9f3d-149c-297f4ff5d26c,9d1af36d-9a7f-0631-197d-1dca49b882a9,3be71468-82e8-b099-9fbc-a93dc8a54418,2024-02-03T17:02:00,interactive,False,True,False,False,
5507947b-1cb6-65a9-c84b-6a3019eedd15,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-02-05T19:00:00,interactive,True,True,False,False,
fd61410a-3e42-ba9f-998f-649595029ce4,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-02-06T07:55:00,remote_interactive,True,True,False,False,
ce33327c-25f9-61f5-7713-28c049b01bec,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-01-26T08:04:00,interactive,True,False,False,False,
d7e78e7d-7005-0f10-b957-a684c592b776,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-01-15T00:59:00,interactive,True,True,False,False,
36b9bd0d-4640-830f-54ec-e865d6ff2e90,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-02-17T22:18:00,interactive,True,True,False,False,
292ae3ad-fbaa-792f-23a7-37b6126fcf29,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-02-05T14:19:00,remote_interactive,True,False,False,False,
163e3873-aa0c-4afa-2b98-4719c1e3f2be,9d1af36d-9a7f-0631-197d-1dca49b882a9,7ccf4678-ceff-1c6f-314d-57d3e87b1d7c,2024-02-12T11:42:00,interactive,True,False,False,False,
b3273c62-b709-fbf0-ffe7-09bf33afbe96,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-03-08T11:01:00,interactive,True,False,False,False,
078479fe-0125-4d16-c97a-ee2872343528,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-03-25T12:57:00,interactive,True,False,False,False,
f00fbb1c-6ce6-1855-10f2-235bb18f36f7,9d1af36d-9a7f-0631-197d-1dca49b882a9,f8745594-a08d-6c1d-4d51-1c3632afb38b,2024-03-09T04:34:00,interactive,True,True,False,False,
5cb90058-daca-b3d7-671f-0a116f1cd5cb,9d1af36d-9a7f-0631-197d-1dca49b882a9,2cf5f31d-a57b-fad7-0be7-b38d966f5888,2024-02-20T19:27:00,interactive,True,True,False,False,
2c78ed79-e06e-45ea-512f-b49b068fb0c3,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-03-19T11:12:00,remote_interactive,True,False,False,False,
8c990a5f-3770-d596-8944-c28c21ffdcb7,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-02-11T03:30:00,remote_interactive,True,True,False,False,
eae6d8b0-9443-4bc1-dac1-24b207f762a5,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-02-24T08:16:00,remote_interactive,True,True,False,False,
0c189877-72e3-006e-aae4-b97cc8121a20,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-01-06T23:17:00,interactive,True,True,False,False,
53b6ee43-23ad-1eeb-c7c7-969104f91ac9,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-01-20T22:11:00,interactive,True,True,False,False,
cb746647-580b-ce6b-43f9-a4c644ae444d,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-03-23T08:19:00,interactive,True,True,False,False,
1d3a9af0-9355-cd27-1564-85f805d9178c,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-02-07T03:55:00,interactive,True,True,False,False,
5cc171dc-6d7b-e23c-ebd2-4ea78f176b50,9d1af36d-9a7f-0631-197d-1dca49b882a9,a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,2024-02-12T19:13:00,interactive,True,True,False,False,
