label_id,entity_type,entity_id,anomaly_class,anomaly_severity,injected_at,observable_from,source_record_ids,benchmark_task_id,split
bf79e70d-508a-1b2e-1efb-af8b545bacd3,user,e85f9b9c-5bd8-cf83-00ba-20a8ec25c4ee,stale_privileged_account,high,2024-01-01T00:00:00,2024-01-01T00:00:00,e85f9b9c-5bd8-cf83-00ba-20a8ec25c4ee,T1,test
bdfae878-a290-289c-e1f2-adfec9d2aa78,user,2f56aa76-ed2a-28ff-f25a-1c66bb456eea,stale_privileged_account,high,2024-01-01T00:00:00,2024-01-01T00:00:00,2f56aa76-ed2a-28ff-f25a-1c66bb456eea,T1,val
c0e0b9cc-d400-5b6f-2f57-7ddd6980cf93,user,ed9c0cda-1a63-7bd9-24b5-4542c331d9f5,stale_privileged_account,high,2024-01-01T00:00:00,2024-01-01T00:00:00,ed9c0cda-1a63-7bd9-24b5-4542c331d9f5,T1,train
589f2fe3-4f1c-b813-841a-34eee3b3daaa,user,1980de7c-f800-448c-ad9d-45a2e7686d2f,stale_privileged_account,high,2024-01-01T00:00:00,2024-01-01T00:00:00,1980de7c-f800-448c-ad9d-45a2e7686d2f,T1,train
ee082df3-6e36-9633-7e55-234fc7fb9550,event,15a614e1-d7e4-1b5c-4fa3-06edca6b7da7,group_membership_drift,medium,2024-01-01T00:00:00,2024-01-31 19:00:00,15a614e1-d7e4-1b5c-4fa3-06edca6b7da7,T2,train
9031f491-c45b-2592-d33d-b78a595aad63,event,947dc935-1688-79c2-f65f-8b14d3a58b6b,group_membership_drift,medium,2024-01-01T00:00:00,2024-03-05 02:00:00,947dc935-1688-79c2-f65f-8b14d3a58b6b,T2,test
bdd5065a-a8b3-5aae-54b1-8f64cda0ee8f,event,357c6f9a-de55-f409-cbf0-c662ae51ff2b,group_membership_drift,medium,2024-01-01T00:00:00,2024-01-18 05:00:00,357c6f9a-de55-f409-cbf0-c662ae51ff2b,T2,train
16001a1f-c753-c093-1e87-d57f821e5115,event,897bb5a8-3682-5f1b-1c4d-4dc0d1a09d35,group_membership_drift,medium,2024-01-01T00:00:00,2024-02-22 16:00:00,897bb5a8-3682-5f1b-1c4d-4dc0d1a09d35,T2,val
89da3fa3-6bef-edaf-8369-8ee07b6ada56,event,dabf7e94-d3bc-b512-dc94-edce7930c576,privilege_escalation_drift,critical,2024-01-01T00:00:00,2024-03-08 04:00:00,dabf7e94-d3bc-b512-dc94-edce7930c576,T2,val
7215b501-dc56-4034-4966-aaf9168f57be,event,ec6865ce-aa84-8d40-2b0d-f95c19fcfcc5,privilege_escalation_drift,critical,2024-01-01T00:00:00,2024-02-10 05:00:00,ec6865ce-aa84-8d40-2b0d-f95c19fcfcc5,T2,train
f3601992-5381-063f-7874-9b45bbd6c8b5,computer,5a917c7b-0ff2-2eed-2888-26b7a001f335,endpoint_identity_risk_correlation,critical,2024-01-01T00:00:00,2024-01-01T00:00:00,"5a917c7b-0ff2-2eed-2888-26b7a001f335,1980de7c-f800-448c-ad9d-45a2e7686d2f",T3,val
2a0260d6-f357-e028-eca1-a014dc5e7dff,computer,0345bd2c-c653-3518-26d4-eaa1e3b19555,endpoint_identity_risk_correlation,critical,2024-01-01T00:00:00,2024-01-01T00:00:00,"0345bd2c-c653-3518-26d4-eaa1e3b19555,c3bbb4d9-35b9-8b51-7018-d3c1ff33dfed",T3,train
3ac40ffa-7490-3574-5876-cde48a3c54fc,computer,59d36806-ec01-7be2-ac58-9b152b45afd3,endpoint_identity_risk_correlation,critical,2024-01-01T00:00:00,2024-01-01T00:00:00,"59d36806-ec01-7be2-ac58-9b152b45afd3,2f56aa76-ed2a-28ff-f25a-1c66bb456eea",T3,test
8539e41d-3ee0-a0a0-486d-cfcde2285200,computer,651d222a-e073-0f73-c56d-431d6eb16c12,missing_endpoint_agent,high,2024-01-01T00:00:00,2024-01-01T00:00:00,651d222a-e073-0f73-c56d-431d6eb16c12,T4,train
356e30b7-d43e-852e-1f54-306e5ed629df,computer,d30bbc48-21ac-584e-277f-7296a4f8d3f1,missing_endpoint_agent,high,2024-01-01T00:00:00,2024-01-01T00:00:00,d30bbc48-21ac-584e-277f-7296a4f8d3f1,T4,val
2a54d9b5-5f1e-9493-4798-36afd7be8813,computer,1b06f755-3b53-e28c-3118-f4f11a018ef7,missing_endpoint_agent,high,2024-01-01T00:00:00,2024-01-01T00:00:00,1b06f755-3b53-e28c-3118-f4f11a018ef7,T4,test
a555b433-65ef-3f3a-ce0b-3f1ccacf2fea,computer,0345bd2c-c653-3518-26d4-eaa1e3b19555,missing_endpoint_agent,high,2024-01-01T00:00:00,2024-01-01T00:00:00,0345bd2c-c653-3518-26d4-eaa1e3b19555,T4,train
e9e84b47-8437-1eac-8b6b-555cfa0b5c96,computer,7100c24d-d0fa-3231-092e-17e9655cbfcb,missing_endpoint_agent,high,2024-01-01T00:00:00,2024-01-01T00:00:00,7100c24d-d0fa-3231-092e-17e9655cbfcb,T4,train
b95a3171-922b-b1c8-b139-91c4d613917f,computer,8dcdfd73-005e-4eb1-c2f0-0cd9f3033405,missing_endpoint_agent,high,2024-01-01T00:00:00,2024-01-01T00:00:00,8dcdfd73-005e-4eb1-c2f0-0cd9f3033405,T4,train
67ec1ded-c112-b8eb-0e4d-74eeb88c2d46,computer,056ded11-01f4-252e-ee20-e11a8c9a6f3a,missing_endpoint_agent,high,2024-01-01T00:00:00,2024-01-01T00:00:00,056ded11-01f4-252e-ee20-e11a8c9a6f3a,T4,test
2ac64f39-e899-a3be-51c0-2a5e09a8f44d,computer,9b1a83e6-9688-0751-eae9-d9f6447329dd,missing_endpoint_agent,high,2024-01-01T00:00:00,2024-01-01T00:00:00,9b1a83e6-9688-0751-eae9-d9f6447329dd,T4,test
5d5e47c0-c533-0ebd-b2d7-23fd37901c32,asset,e827b30e-4d9b-0b33-f38a-b897b66af5d8,asset_inventory_mismatch,medium,2024-01-01T00:00:00,2024-01-01T00:00:00,e827b30e-4d9b-0b33-f38a-b897b66af5d8,T4,val
a8c59bc0-f3a0-4d41-9ca6-b073dcc0a691,asset,b3db64c7-e46d-c99b-e3cb-c2059279144d,asset_inventory_mismatch,medium,2024-01-01T00:00:00,2024-01-01T00:00:00,b3db64c7-e46d-c99b-e3cb-c2059279144d,T4,train
39832089-9e47-242d-2862-a743bf868146,asset,3b7a2363-9805-12e1-1347-15d8c8c3c51e,asset_inventory_mismatch,medium,2024-01-01T00:00:00,2024-01-01T00:00:00,3b7a2363-9805-12e1-1347-15d8c8c3c51e,T4,test
61aac2b6-aaba-6676-3284-6dbc07c7dcc3,asset,651d222a-e073-0f73-c56d-431d6eb16c12,asset_inventory_mismatch,medium,2024-01-01T00:00:00,2024-01-01T00:00:00,651d222a-e073-0f73-c56d-431d6eb16c12,T4,train
e42c845a-2aba-8d66-5b1f-ee101471f004,asset,deb2eaca-247e-f9da-49e7-0f340157a582,asset_inventory_mismatch,medium,2024-01-01T00:00:00,2024-01-01T00:00:00,deb2eaca-247e-f9da-49e7-0f340157a582,T4,test
03bf6ea0-29e5-b439-dfa8-36269c992115,asset,2c30ab74-6e99-9434-63eb-908bfbd4dc21,asset_inventory_mismatch,medium,2024-01-01T00:00:00,2024-01-01T00:00:00,2c30ab74-6e99-9434-63eb-908bfbd4dc21,T4,train
0d2cf262-457f-a5ea-9187-4798f6fe867f,computer,840b8ab2-a59f-0215-e26c-72e3e72f2af4,patch_noncompliance_cluster,high,2024-01-01T00:00:00,2024-01-01T00:00:00,840b8ab2-a59f-0215-e26c-72e3e72f2af4,T5,train
d2cc74aa-3354-b9cc-c726-8e1a8f5b12d7,computer,13f8bb73-58f2-1dc4-94f6-9bdb43eb3b1e,patch_noncompliance_cluster,high,2024-01-01T00:00:00,2024-01-01T00:00:00,13f8bb73-58f2-1dc4-94f6-9bdb43eb3b1e,T5,train
a17740f6-2a64-a25d-54db-7445db6827ee,computer,19e46d3f-393c-e721-bdb4-b9111f63b45f,patch_noncompliance_cluster,high,2024-01-01T00:00:00,2024-01-01T00:00:00,19e46d3f-393c-e721-bdb4-b9111f63b45f,T5,train
cb42673a-31bc-9386-a9ee-86963973f35c,computer,b65467e4-2bf1-9adc-7495-7b8f35ae7173,patch_noncompliance_cluster,high,2024-01-01T00:00:00,2024-01-01T00:00:00,b65467e4-2bf1-9adc-7495-7b8f35ae7173,T5,train
2f7bc9cb-ff92-d9d4-2086-b70514a770d0,computer,a9d6250a-98de-5821-6ef3-5242339847af,patch_noncompliance_cluster,high,2024-01-01T00:00:00,2024-01-01T00:00:00,a9d6250a-98de-5821-6ef3-5242339847af,T5,test
94e264eb-3b6e-8f80-e31d-2a8ef83a0e20,computer,1e800194-ec64-0841-1641-0707aabfe76c,patch_noncompliance_cluster,high,2024-01-01T00:00:00,2024-01-01T00:00:00,1e800194-ec64-0841-1641-0707aabfe76c,T5,val
f5dc0f62-eb22-2b8d-bb73-4f6b7c8f2640,computer,4fbd8654-8465-ebb7-ac25-0e4b99b9d70a,patch_noncompliance_cluster,high,2024-01-01T00:00:00,2024-01-01T00:00:00,4fbd8654-8465-ebb7-ac25-0e4b99b9d70a,T5,test
b8f19721-f442-d44f-ece7-3f901ac780a3,computer,12dcb5d4-2008-77b0-5b3e-779448f6360d,patch_noncompliance_cluster,high,2024-01-01T00:00:00,2024-01-01T00:00:00,12dcb5d4-2008-77b0-5b3e-779448f6360d,T5,test
dca403fa-8f9a-39fd-5bdf-9224441c1450,computer,778188d3-8915-b538-cd40-2f368e1ee25e,kev_exposure_aging,critical,2024-01-01T00:00:00,2024-01-01T00:00:00,69f0118d-2eb9-6b7e-a5ad-097aa90f9daa,T5,train
fb949358-b71f-9991-1a48-08eaefe6f49f,computer,eb62b984-3aa9-3587-9955-1010513b54ba,kev_exposure_aging,critical,2024-01-01T00:00:00,2024-01-01T00:00:00,f9c1b486-f04a-bee5-6612-af4eb7bb8569,T5,train
9aa10742-39f4-649d-75e6-99c711308c9b,computer,04d8c99c-e4ae-3be7-8e0f-cab4ce50d23c,kev_exposure_aging,critical,2024-01-01T00:00:00,2024-01-01T00:00:00,39622e01-f073-9bf0-effc-999a78688133,T5,train
ba739c24-dc84-d6e5-f465-88ed7069ffe0,computer,f5623f1a-433f-d733-b3db-285da8c80116,kev_exposure_aging,critical,2024-01-01T00:00:00,2024-01-01T00:00:00,d6ee368e-2caa-cb20-2e24-542443282116,T5,test
596fad31-37a7-671e-6ab0-b833658eabca,computer,52098a74-7332-a09e-a0ff-1152b9f7f78b,kev_exposure_aging,critical,2024-01-01T00:00:00,2024-01-01T00:00:00,82d5a657-ce05-3332-ae25-fd9a476c927c,T5,val
344883d6-cbb1-635f-2a72-704627e8c9d6,computer,056ded11-01f4-252e-ee20-e11a8c9a6f3a,abnormal_remediation_delay,high,2024-01-01T00:00:00,2024-01-01T00:00:00,0c0241ea-1db8-0ff7-a27d-f7a8b596d311,T5,train
